x,y
-1650,22.0
-1660,25.0
-1670,23.0
-1680,24.0
-1690,22.0
-1700,24.0
-1710,15.0
-1720,17.0
-1730,20.0
-1740,14.0
-1750,17.0
-1760,23.0
-1770,19.0
-1780,20.0
-1790,16.0
-1800,15.0
-1810,18.0
-1820,16.0
-1830,20.0
-1840,22.0
-1850,17.0
-1860,15.0
-1870,18.0
-1880,14.0
-1890,19.0
-1900,11.0
-1910,17.0
-1920,11.0
-1930,19.0
-1940,20.0
-1950,19.0
-1960,21.0
-1970,17.0
-1980,25.0
-1990,15.0
-2000,16.0
-2010,19.0
-2020,14.0
-2030,19.0
-2040,21.0
-2050,21.0
-2060,16.0
-2070,25.0
-2080,19.0
-2090,14.0
-2100,17.0
-2110,16.0
-2120,18.0
-2130,17.0
-2140,22.0
-2150,17.0
-2160,20.0
-2170,13.0
-2180,16.0
-2190,11.0
-2200,11.0
-2210,12.0
-2220,16.0
-2230,12.0
-2240,13.0
-2250,17.0
-2260,15.0
-2270,14.0
-2280,4.0
-2290,13.0
-2300,15.0
-2310,12.0
-2320,19.0
-2330,12.0
-2340,14.0
-2350,15.0
-2360,21.0
-2370,19.0
-2380,11.0
-2390,10.0
-2400,14.0
-2410,18.0
-2420,13.0
-2430,9.0
-2440,16.0
-2450,8.0
-2460,14.0
-2470,9.0
-2480,16.0
-2490,19.0
-2500,22.0
-2510,22.0
-2520,29.0
-2540,34.0
-2550,33.0
-2560,38.0
-2570,45.0
-2580,52.0
-2590,50.0
-2600,43.0
-2610,42.0
-2620,50.0
-2630,53.0
-2640,65.0
-2650,74.0
-2660,84.0
-2670,107.0
-2680,124.0
-2690,214.0
-2700,282.0
-2710,366.0
-2720,505.0
-2730,736.0
-2740,856.0
-2750,838.0
-2760,703.0
-2770,535.0
-2780,465.0
-2790,321.0
-2800,258.0
-2810,243.0
-2820,229.0
-2830,227.0
-2840,218.0
-2850,218.0
-2860,207.0
-2870,204.0
-2880,187.0
-2890,192.0
-2900,206.0
-2910,221.0
-2920,192.0
-2930,145.0
-2940,120.0
-2950,109.0
-2960,100.0
-2970,83.0
-2980,74.0
-2990,75.0
-3000,71.0
-3010,63.0
-3020,59.0
-3030,52.0
-3040,57.0
-3050,48.0
-3060,36.0
-3070,27.0
-3080,29.0
-3090,25.0
-3100,19.0
-3110,17.0
-3120,15.0
-3130,18.0
-3140,15.0
-3150,16.0
-3160,12.0
-3170,6.0
-3180,12.0
-3190,12.0
-3200,17.0
-3210,5.0
-3220,11.0
-3230,15.0
-3240,17.0
-3250,11.0
-3260,10.0
-3270,14.0
-3280,11.0
-3290,11.0
-3300,23.0
-3310,19.0
-3320,15.0
-3330,11.0
-3340,10.0
-3350,17.0
-3360,18.0
-3370,13.0
-3380,9.0
-3390,18.0
-3400,18.0
-3410,15.0
-3420,20.0
-3430,17.0
-3440,16.0
-3450,14.0
-3460,14.0
